family,configuration,trial,state,parameters,cv_average_precision_mean,cv_average_precision_sd,cv_roc_auc_mean,cv_roc_auc_sd,cv_brier_mean,cv_brier_sd,cv_recall_mean,cv_recall_sd,cv_precision_mean,cv_precision_sd,cv_f1_mean,cv_f1_sd,cv_ap_min,cv_ap_max,duration_seconds,mlflow_run_id
boosting,raw,5,COMPLETE,"{""l2_regularization"": 30.0, ""learning_rate"": 0.09956460917497797, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",0.21831231753828567,0.0039884037050183455,0.6621102926054449,0.008252992324275019,0.09455464875592376,0.00032245145490459486,0.012024732955552153,0.006061693031284368,0.539214257964258,0.14820479694052935,0.023397757065223714,0.011472699682495112,0.21200000179442802,0.22254226846487568,3.170138,6814ba5d5d5842ca8d03b9daf284eff1
boosting,raw,6,COMPLETE,"{""l2_regularization"": 10.0, ""learning_rate"": 0.06056025140858027, ""max_iter"": 75, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",0.2185637976028269,0.005514701954475414,0.6626416381709673,0.008022650018707226,0.09456332692361,0.0003153744023216537,0.006082136876107992,0.007187785333414113,0.5892592592592593,0.3802893995825314,0.011861714522414756,0.013845672262975148,0.21040010470529563,0.22575971110216916,2.261491,0c03db04a6524b05a2a0a9633c1a2c00
boosting,raw,7,COMPLETE,"{""l2_regularization"": 0.1, ""learning_rate"": 0.07777211931842233, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 200}",0.21484046360062053,0.004443768327148071,0.6597498623525715,0.007875803892837823,0.09477490411320011,0.00032735386471212553,0.011317319175047625,0.0054532498039265255,0.48234265734265735,0.12101476391027005,0.02199342524874756,0.010250271704996884,0.20766945668673997,0.21910523130890738,3.763921,3d5ba9253bae4a7f851ff49eb04a9719
boosting,raw,8,COMPLETE,"{""l2_regularization"": 10.0, ""learning_rate"": 0.04577788000756166, ""max_iter"": 75, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 200}",0.21829769333559373,0.005546328863961944,0.6625918472386981,0.007711877388384091,0.09461617247727766,0.0002803992787468991,0.003818953323903819,0.005692959490098475,0.24,0.34532593299664016,0.007476401125878024,0.01110036479482804,0.21009647149290978,0.2255755078279896,2.323614,c258bea276e846ef9dcf6c1f16aef78a
boosting,raw,9,COMPLETE,"{""l2_regularization"": 30.0, ""learning_rate"": 0.03241082863144868, ""max_iter"": 125, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 200}",0.21882571067918719,0.0053330350876637156,0.6637853448081195,0.008483021632295657,0.09451137085856649,0.0002975537704040855,0.004667809820108489,0.006396149427402076,0.3746794871794872,0.3625062345016938,0.00911360917871105,0.012393618898465165,0.2114707203629212,0.22574554870902025,3.209343,a589299b9cf54463947cde87137182b3
boosting,raw,10,COMPLETE,"{""l2_regularization"": 10.0, ""learning_rate"": 0.12313216360120625, ""max_iter"": 75, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",0.21822222495212804,0.004898085004394331,0.6599275635291756,0.007990407040879095,0.09462283459994318,0.0003819129358908445,0.012307918689958168,0.005535041747270527,0.5279391916944753,0.13121232423612594,0.02396294014016348,0.010495620127328362,0.2104603467751005,0.22249166607586224,2.6561,6875da7809b6468ab516586aef1010f4
boosting,raw,11,COMPLETE,"{""l2_regularization"": 30.0, ""learning_rate"": 0.033295834113427666, ""max_iter"": 125, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 200}",0.21882878928940733,0.004918809072488898,0.6636610095301807,0.00800917732524059,0.09451217733656074,0.0002881396844546558,0.005657908830009479,0.008171171336257558,0.33714285714285713,0.3387552243742026,0.01100235561609724,0.015757261899084756,0.2119286957042339,0.22482490661919205,3.232059,b2b700b4dc6744b6a1fa41c6693540d1
boosting,raw,12,COMPLETE,"{""l2_regularization"": 10.0, ""learning_rate"": 0.04180243144546529, ""max_iter"": 75, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",0.21973304026808851,0.005286131050498469,0.6636194713097973,0.007860986117116687,0.09449601875472566,0.00029262010467213077,0.0036776107092055888,0.005035564987024721,0.33421052631578946,0.32836791068029614,0.007214943190513222,0.009833009346945818,0.21197002307284735,0.22672913945471096,2.553529,44a0466e5116468883fe594946bfa7d2
boosting,raw,13,COMPLETE,"{""l2_regularization"": 30.0, ""learning_rate"": 0.08037348550352696, ""max_iter"": 75, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",0.21944974514526785,0.005094990249778298,0.6639256207374998,0.008229897391711738,0.09446248615694261,0.0003388312945456214,0.008912092301131842,0.0063365054643034985,0.5257645541635962,0.1994792024377825,0.017392825559888532,0.012081616482799649,0.2111132145849174,0.22483354515072382,2.542004,750929dc534641dca0321642c83396eb
boosting,raw,14,COMPLETE,"{""l2_regularization"": 30.0, ""learning_rate"": 0.04938583890481199, ""max_iter"": 75, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",0.22020666333049244,0.00527217422840228,0.6638683038108647,0.008214483784095531,0.09448797577578875,0.000290477744976652,0.0026874115983026876,0.004594167402803879,0.23894736842105263,0.357189708046895,0.005259786020885387,0.00894903835578303,0.2123828582311863,0.22711069563627403,2.553088,bd3692dc69454fdd96b47988e1ea4247
