family,configuration,trial,fold,average_precision,roc_auc,recall,precision,f1,specificity,brier,tn,fp,fn,tp,threshold,mean_probability,prevalence,predicted_positive_fraction,fit_encounters,holdout_encounters,encoded_features,duration_seconds
boosting,raw,6,3,0.21965841686021162,0.6637570153669601,0.0007077140835102619,1.0,0.0014144271570014145,1.0,0.09444221684769695,11299,0,1412,1,0.5,0.11048263670749421,0.11115481434864695,7.866582756450598e-05,50851,12712,10,0.4598557089921087
boosting,raw,6,4,0.21040010470529563,0.6617362841312389,0.01768033946251768,0.46296296296296297,0.0340599455040872,0.9974334011859457,0.09488243832654802,11270,29,1389,25,0.5,0.11218715346241905,0.1112247305907339,0.0042476205458978995,50850,12713,10,0.44237066600180697
boosting,raw,7,0,0.2142350755459109,0.6473790786206938,0.010608203677510608,0.625,0.02086230876216968,0.9992034693335693,0.09497711180842448,11290,9,1399,15,0.5,0.11036407715531131,0.1112247305907339,0.0018878313537324,50850,12713,10,0.7719542499980889
boosting,raw,7,1,0.21910523130890738,0.6691118992409065,0.01272984441301273,0.6,0.024930747922437674,0.9989378651088688,0.09458600405668299,11286,12,1396,18,0.5,0.11169839093621553,0.11123348017621146,0.0023599748269351795,50851,12712,10,0.7353929589880863
boosting,raw,7,2,0.21540370305856088,0.6616210723434104,0.005661712668082095,0.36363636363636365,0.011149825783972125,0.9987610619469026,0.09456103367060739,11286,14,1405,8,0.5,0.10916846042569288,0.11114607095099505,0.0017305120742546999,50850,12713,10,0.7564200420019915
boosting,raw,7,3,0.21778885140298343,0.661599392489562,0.00778485491861288,0.4230769230769231,0.015288394718554551,0.9986724488892822,0.09449688818350954,11284,15,1402,11,0.5,0.11004607311557402,0.11115481434864695,0.0020453115166771552,50851,12712,10,0.7485319160041399
boosting,raw,7,4,0.20766945668673997,0.6590378690682845,0.019801980198019802,0.4,0.03773584905660377,0.9962828568899903,0.09525348284677612,11257,42,1386,28,0.5,0.11231225352651322,0.1112247305907339,0.0055061747817195,50850,12713,10,0.7396054590062704
boosting,raw,8,0,0.21731654336367245,0.6496920907621845,0.0,0.0,0.0,1.0,0.09493143607979206,11299,0,1414,0,0.5,0.11053246559583899,0.1112247305907339,0.0,50850,12713,10,0.4693574999982957
boosting,raw,8,1,0.21939847688893044,0.6672183909082053,0.006364922206506365,0.75,0.012622720897615708,0.9997344662772172,0.09453878678190576,11295,3,1405,9,0.5,0.11216554353096912,0.11123348017621146,0.0009439899307740718,50851,12712,10,0.4561668750102399
boosting,raw,8,2,0.2255755078279896,0.6694937339120306,0.0,0.0,0.0,0.9999115044247787,0.09422739439856348,11299,1,1413,0,0.5,0.11005734538474132,0.11114607095099505,7.865963973885e-05,50850,12713,10,0.4621017919998849
