model,threshold,recall,precision,f1,specificity,tn,fp,fn,tp,encounters_flagged,encounter_fraction_flagged,patients_flagged,patient_fraction_flagged
logistic__uncalibrated,0.78,0.00133422281521014,1.0,0.002664890073284477,1.0,12091,0,1497,2,2,0.00014716703458425313,1,0.00010249051962693452
logistic__uncalibrated,0.79,0.00133422281521014,1.0,0.002664890073284477,1.0,12091,0,1497,2,2,0.00014716703458425313,1,0.00010249051962693452
logistic__uncalibrated,0.8,0.00133422281521014,1.0,0.002664890073284477,1.0,12091,0,1497,2,2,0.00014716703458425313,1,0.00010249051962693452
logistic__uncalibrated,0.81,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.82,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.83,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.84,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.85,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.86,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.87,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.88,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.89,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.9,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.91,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.92,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.93,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.94,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
logistic__uncalibrated,0.95,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
logistic__uncalibrated,0.96,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
logistic__uncalibrated,0.97,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
logistic__uncalibrated,0.98,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
logistic__uncalibrated,0.99,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
logistic__uncalibrated,1.0,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.0,1.0,0.11030169242089771,0.19868778580422825,0.0,0,12091,0,1499,13590,1.0,9757,1.0
boosting__uncalibrated,0.01,1.0,0.11030169242089771,0.19868778580422825,0.0,0,12091,0,1499,13590,1.0,9757,1.0
boosting__uncalibrated,0.02,1.0,0.11030169242089771,0.19868778580422825,0.0,0,12091,0,1499,13590,1.0,9757,1.0
boosting__uncalibrated,0.03,1.0,0.11030169242089771,0.19868778580422825,0.0,0,12091,0,1499,13590,1.0,9757,1.0
boosting__uncalibrated,0.04,0.9986657771847899,0.11078220972396952,0.19944044764188648,0.006202960879993383,75,12016,2,1497,13513,0.9943340691685063,9690,0.9931331351849954
boosting__uncalibrated,0.05,0.9926617745163442,0.1132420091324201,0.20329257462941458,0.03630799768422794,439,11652,11,1488,13140,0.9668874172185431,9369,0.9602336783847494
boosting__uncalibrated,0.06,0.9472981987991995,0.12118108892302441,0.2148747824771128,0.14829211810437515,1793,10298,79,1420,11718,0.8622516556291391,8207,0.8411396945782516
boosting__uncalibrated,0.07,0.8732488325550367,0.13139931740614336,0.22842683884477794,0.2843437267388967,3438,8653,190,1309,9962,0.7330389992641648,6820,0.6989853438556933
boosting__uncalibrated,0.08,0.7771847898599066,0.14450508558670305,0.24369835791235225,0.42957571747580847,5194,6897,334,1165,8062,0.5932303164091244,5393,0.5527313723480578
boosting__uncalibrated,0.09,0.7291527685123416,0.15299552071668532,0.2529214393150526,0.4995451162021338,6040,6051,406,1093,7144,0.5256806475349521,4688,0.48047555601106895
boosting__uncalibrated,0.1,0.657104736490994,0.16071137216511666,0.25825904562139484,0.5745595897775204,6947,5144,514,985,6129,0.4509933774834437,3946,0.40442759044788357
boosting__uncalibrated,0.11,0.5823882588392262,0.16856536010812898,0.261455525606469,0.6438673393433132,7785,4306,626,873,5179,0.3810890360559235,3308,0.33903863892589936
boosting__uncalibrated,0.12,0.5356904603068713,0.17632850241545894,0.2653229803403271,0.6897692498552642,8340,3751,696,803,4554,0.3350993377483444,2911,0.29834990263400635
boosting__uncalibrated,0.13,0.4616410940627085,0.1873308067135896,0.26651261313306374,0.7517161525101315,9089,3002,807,692,3694,0.27181751287711553,2337,0.23952034436814595
boosting__uncalibrated,0.14,0.3935957304869913,0.20443520443520444,0.2690992018244014,0.8101066909271358,9795,2296,909,590,2886,0.21236203090507727,1794,0.1838679922107205
boosting__uncalibrated,0.15,0.34623082054703136,0.2090213451469996,0.26067302862882974,0.8375651310892399,10127,1964,980,519,2483,0.18270787343635025,1552,0.15906528646100235
boosting__uncalibrated,0.16,0.2961974649766511,0.2172211350293542,0.2506350550381033,0.8676701678934745,10491,1600,1055,444,2044,0.1504047093451067,1270,0.13016295992620683
boosting__uncalibrated,0.17,0.2635090060040027,0.2329009433962264,0.24726134585289514,0.8923993052683814,10790,1301,1104,395,1696,0.12479764532744665,1039,0.10648764989238496
boosting__uncalibrated,0.18,0.2208138759172782,0.24627976190476192,0.2328526204713331,0.916218675047556,11078,1013,1168,331,1344,0.0988962472406181,811,0.08311981141744389
boosting__uncalibrated,0.19,0.1934623082054703,0.25846702317290554,0.22128958412819535,0.9311884873046067,11259,832,1209,290,1122,0.08256070640176601,676,0.06928359126780773
boosting__uncalibrated,0.2,0.16811207471647766,0.2689434364994664,0.20689655172413793,0.9433462906293938,11406,685,1247,252,937,0.06894775570272259,567,0.058112124628471866
boosting__uncalibrated,0.21,0.142761841227485,0.2772020725388601,0.18846323205636284,0.9538499710528492,11533,558,1285,214,772,0.056806475349521705,464,0.04755560110689761
boosting__uncalibrated,0.22,0.12141427618412275,0.2808641975308642,0.1695388914764788,0.9614589363989744,11625,466,1317,182,648,0.04768211920529802,388,0.03976632161525059
boosting__uncalibrated,0.23,0.11007338225483655,0.2879581151832461,0.15926640926640925,0.966255892812836,11683,408,1334,165,573,0.042163355408388524,344,0.03525673875166547
boosting__uncalibrated,0.24,0.10206804536357572,0.298828125,0.15216310293386376,0.9703084939210983,11732,359,1346,153,512,0.0376747608535688,311,0.031874551603976634
boosting__uncalibrated,0.25,0.09472981987991995,0.3008474576271186,0.14408929477422627,0.9727069721280291,11761,330,1357,142,472,0.03473142016188374,286,0.029312288613303268
boosting__uncalibrated,0.26,0.09006004002668445,0.31322505800464034,0.13989637305699482,0.9755189810602928,11795,296,1364,135,431,0.03171449595290655,265,0.027159987701137644
